Date,SPY_Close,SPY_Volume,SPY_Volatility,기준금리,SPY_PER,SPY_PBR,US_GDP,TNX_Close,CPIAUCSL
2024-09-30,573.760009765625,63557400,6.29998779296875,5.0,28.09,4.94,23478570.0,0.3802000045776367,314.131
2024-10-01,568.6199951171875,72668800,8.05999755859375,5.0,28.45,4.94,23478570.0,0.3743000030517578,314.131
2024-10-02,568.8599853515625,38097800,4.6300048828125,5.0,28.45,4.94,23478570.0,0.3785000085830688,314.131
2024-10-03,567.8200073242188,40846500,4.30999755859375,5.0,28.45,4.94,23478570.0,0.3849999904632568,314.131
2024-10-04,572.97998046875,42939100,5.260009765625,5.0,28.45,4.94,23478570.0,0.3980999946594238,314.131
2024-10-07,567.7999877929688,49964700,5.33001708984375,5.0,28.45,4.94,23478570.0,0.4026000022888183,314.131
2024-10-08,573.1699829101562,37398700,4.25,5.0,28.45,4.94,23478570.0,0.4032999992370605,314.131
2024-10-09,577.1400146484375,37912200,5.1600341796875,5.0,28.45,4.94,23478570.0,0.4066999912261962,314.131
2024-10-10,576.1300048828125,44138100,3.09002685546875,5.0,28.45,4.94,23478570.0,0.409600019454956,314.131
2024-10-11,579.5800170898438,42268000,4.4200439453125,5.0,28.45,4.94,23478570.0,0.4072999954223633,314.851
2024-10-14,584.3200073242188,36217200,4.5400390625,5.0,28.45,4.94,23478570.0,0.4098000049591064,314.851
2024-10-15,579.780029296875,54203600,6.36004638671875,5.0,28.45,4.94,23478570.0,0.4038000106811523,314.851
2024-10-16,582.2999877929688,30725400,3.8699951171875,5.0,28.45,4.94,23478570.0,0.4015999794006347,314.851
2024-10-17,582.3499755859375,34393700,3.96002197265625,5.0,28.45,4.94,23478570.0,0.409600019454956,314.851
2024-10-18,584.5900268554688,37416800,2.80999755859375,5.0,28.45,4.94,23478570.0,0.4072999954223633,314.851
2024-10-21,583.6300048828125,36439000,4.25,5.0,28.45,4.94,23478570.0,0.4182000160217285,314.851
2024-10-22,583.3200073242188,34183800,4.1199951171875,5.0,28.45,4.94,23478570.0,0.4203999996185302,314.851
2024-10-23,577.989990234375,49314600,7.2900390625,5.0,28.45,4.94,23478570.0,0.4242000102996826,314.851
2024-10-24,579.239990234375,34979900,3.489990234375,5.0,28.45,4.94,23478570.0,0.4199999809265137,314.851
2024-10-25,579.0399780273438,47268200,6.3800048828125,5.0,28.45,4.94,23478570.0,0.423199987411499,314.851
2024-10-28,580.8300170898438,30174700,2.19000244140625,5.0,28.45,4.94,23478570.0,0.4277999877929687,314.851
2024-10-29,581.77001953125,42899700,4.47998046875,5.0,28.45,4.94,23478570.0,0.427400016784668,314.851
2024-10-30,580.010009765625,41435800,4.030029296875,5.0,28.45,4.94,23478570.0,0.4265999794006347,314.851
2024-10-31,568.6400146484375,60182500,7.19000244140625,5.0,28.45,4.94,23478570.0,0.4283999919891357,314.851
2024-11-01,571.0399780273438,45667500,4.92999267578125,5.0,28.66,4.94,23478570.0,0.4361000061035156,314.851
2024-11-04,569.8099975585938,38217000,4.6099853515625,5.0,28.66,4.94,23478570.0,0.4309000015258789,314.851
2024-11-05,576.7000122070312,39478300,6.219970703125,5.0,28.66,4.94,23478570.0,0.4289000034332275,314.851
2024-11-06,591.0399780273438,68182000,6.53997802734375,5.0,28.66,4.94,23478570.0,0.4426000118255615,314.851
2024-11-07,595.6099853515625,47233200,3.6500244140625,5.0,28.66,4.94,23478570.0,0.4341000080108642,314.851
2024-11-08,598.1900024414062,46444900,3.47003173828125,4.75,28.66,4.94,23478570.0,0.4306000232696533,314.851
2024-11-11,598.760009765625,37586800,3.16998291015625,4.75,28.66,4.94,23478570.0,0.4308000087738037,314.851
2024-11-12,596.9000244140625,43006100,4.91998291015625,4.75,28.66,4.94,23478570.0,0.4432000160217285,314.851
2024-11-13,597.1900024414062,47388600,4.26995849609375,4.75,28.66,4.94,23478570.0,0.4451000213623047,315.564
2024-11-14,593.3499755859375,38904100,5.15997314453125,4.75,28.66,4.94,23478570.0,0.4418000221252441,315.564
2024-11-15,585.75,75988800,6.34002685546875,4.75,28.66,4.94,23478570.0,0.4427999973297119,315.564
2024-11-18,588.1500244140625,37001700,4.14996337890625,4.75,28.66,4.94,23478570.0,0.4414000034332275,315.564
2024-11-19,590.2999877929688,49412000,7.00994873046875,4.75,28.66,4.94,23478570.0,0.4379000186920166,315.564
2024-11-20,590.5,50032600,6.15997314453125,4.75,28.66,4.94,23478570.0,0.4406000137329101,315.564
2024-11-21,593.6699829101562,46750300,7.66998291015625,4.75,28.66,4.94,23478570.0,0.4432000160217285,315.564
2024-11-22,595.510009765625,38226400,3.0,4.75,28.66,4.94,23478570.0,0.4409999847412109,315.564
2024-11-25,597.530029296875,42441400,5.65997314453125,4.75,28.66,4.94,23478570.0,0.4264999866485596,315.564
2024-11-26,600.6500244140625,45621300,3.260009765625,4.75,28.66,4.94,23478570.0,0.4302000045776367,315.564
2024-11-27,598.8300170898438,34000200,3.5699462890625,4.75,28.66,4.94,23478570.0,0.4242000102996826,315.564
2024-11-29,602.5499877929688,30177400,3.969970703125,4.75,28.66,4.94,23478570.0,0.4177999973297119,315.564
2024-12-02,603.6300048828125,31746000,1.85003662109375,4.75,28.6,4.94,23478570.0,0.4196000099182129,315.564
2024-12-03,603.9099731445312,26906600,1.8199462890625,4.75,28.6,4.94,23478570.0,0.4223000049591064,315.564
2024-12-04,607.6599731445312,42787600,2.9599609375,4.75,28.6,4.94,23478570.0,0.4179999828338623,315.564
2024-12-05,606.6599731445312,28762200,2.17999267578125,4.75,28.6,4.94,23478570.0,0.4179999828338623,315.564
2024-12-06,607.8099975585938,31241500,2.04998779296875,4.75,28.6,4.94,23478570.0,0.4151000022888184,315.564
2024-12-09,604.6799926757812,34742700,3.77996826171875,4.75,28.6,4.94,23478570.0,0.4198999881744384,315.564
2024-12-10,602.7999877929688,37234500,3.66998291015625,4.75,28.6,4.94,23478570.0,0.422100019454956,315.564
2024-12-11,607.4600219726562,28677700,2.92999267578125,4.75,28.6,4.94,23478570.0,0.4270999908447265,316.449
2024-12-12,604.3300170898438,31543800,2.8299560546875,4.75,28.6,4.94,23478570.0,0.4323999881744385,316.449
2024-12-13,604.2100219726562,35904700,4.32000732421875,4.75,28.6,4.94,23478570.0,0.4399000167846679,316.449
2024-12-16,606.7899780273438,43695200,2.57000732421875,4.75,28.6,4.94,23478570.0,0.4396999835968017,316.449
2024-12-17,604.2899780273438,55773500,2.27996826171875,4.75,28.6,4.94,23478570.0,0.4385000228881835,316.449
2024-12-18,586.280029296875,108248700,20.51995849609375,4.75,28.6,4.94,23478570.0,0.449399995803833,316.449
2024-12-19,586.0999755859375,85919500,7.1500244140625,4.5,28.6,4.94,23478570.0,0.4570000171661377,316.449
2024-12-20,591.1500244140625,125716700,14.84002685546875,4.5,28.6,4.94,23478570.0,0.4524000167846679,316.449
2024-12-23,594.6900024414062,57635800,7.6400146484375,4.5,28.6,4.94,23478570.0,0.4598999977111816,316.449
2024-12-24,601.2999877929688,33160100,5.87005615234375,4.5,28.6,4.94,23478570.0,0.4591000080108642,316.449
2024-12-26,601.3400268554688,41219100,4.39996337890625,4.5,28.6,4.94,23478570.0,0.4578999996185303,316.449
2024-12-27,595.010009765625,64969300,7.02001953125,4.5,28.6,4.94,23478570.0,0.461899995803833,316.449
2024-12-30,588.219970703125,56578800,7.33001708984375,4.5,28.6,4.94,23478570.0,0.4545000076293945,316.449
2024-12-31,586.0800170898438,57052700,6.22003173828125,4.5,28.6,4.99,23586542.0,0.4572999954223632,316.449
2025-01-02,584.6400146484375,50204000,10.6300048828125,4.5,28.16,4.99,23586542.0,0.4574999809265136,316.449
2025-01-03,591.9500122070312,37888500,6.16998291015625,4.5,28.16,4.99,23586542.0,0.459600019454956,316.449
2025-01-06,595.3599853515625,47679400,6.10003662109375,4.5,28.16,4.99,23586542.0,0.4618000030517578,316.449
2025-01-07,588.6300048828125,60393100,10.969970703125,4.5,28.16,4.99,23586542.0,0.4683000087738037,316.449
2025-01-08,589.489990234375,47304700,5.3800048828125,4.5,28.16,4.99,23586542.0,0.4692999839782715,316.449
2025-01-10,580.489990234375,73105000,7.4000244140625,4.5,28.16,4.99,23586542.0,0.4776000022888184,316.449
2025-01-13,581.3900146484375,47910100,6.4000244140625,4.5,28.16,4.99,23586542.0,0.4802999973297119,316.449
2025-01-14,582.1900024414062,48420600,6.6500244140625,4.5,28.16,4.99,23586542.0,0.4788000106811523,316.449
2025-01-15,592.780029296875,56900200,4.739990234375,4.5,28.16,4.99,23586542.0,0.4652999877929687,317.603
2025-01-16,591.6400146484375,43319700,3.41998291015625,4.5,28.16,4.99,23586542.0,0.4605999946594238,317.603
2025-01-17,597.5800170898438,58070600,3.75,4.5,28.16,4.99,23586542.0,0.4609000205993652,317.603
2025-01-21,603.0499877929688,42532900,4.3900146484375,4.5,28.16,4.99,23586542.0,0.4573999881744385,317.603
2025-01-22,606.4400024414062,48196000,2.46002197265625,4.5,28.16,4.99,23586542.0,0.4598999977111816,317.603
2025-01-23,609.75,41152100,4.22998046875,4.5,28.16,4.99,23586542.0,0.4638000011444091,317.603
2025-01-24,607.969970703125,34604700,3.98004150390625,4.5,28.16,4.99,23586542.0,0.4625999927520752,317.603
2025-01-27,599.3699951171875,70361100,5.04998779296875,4.5,28.16,4.99,23586542.0,0.4527999877929687,317.603
2025-01-28,604.52001953125,44433300,8.1199951171875,4.5,28.16,4.99,23586542.0,0.4551000118255615,317.603
2025-01-29,601.8099975585938,37177400,4.9100341796875,4.5,28.16,4.99,23586542.0,0.4554999828338623,317.603
2025-01-30,605.0399780273438,39281300,5.8800048828125,4.5,28.16,4.99,23586542.0,0.451200008392334,317.603
2025-01-31,601.8200073242188,66566900,8.9100341796875,4.5,28.16,4.99,23586542.0,0.4568999767303466,317.603
2025-02-03,597.77001953125,65857200,9.79998779296875,4.5,28.15,4.99,23586542.0,0.4543000221252441,317.603
2025-02-04,601.780029296875,33457800,5.01995849609375,4.5,28.15,4.99,23586542.0,0.4513000011444091,317.603
2025-02-05,604.219970703125,30653100,5.78997802734375,4.5,28.15,4.99,23586542.0,0.4421999931335449,317.603
2025-02-06,606.3200073242188,35771500,3.82000732421875,4.5,28.15,4.99,23586542.0,0.4440000057220459,317.603
2025-02-07,600.77001953125,50788500,8.08001708984375,4.5,28.15,4.99,23586542.0,0.4486999988555908,317.603
2025-02-10,604.8499755859375,26048700,2.760009765625,4.5,28.15,4.99,23586542.0,0.4493000030517578,317.603
2025-02-11,605.3099975585938,30056700,3.42999267578125,4.5,28.15,4.99,23586542.0,0.4537000179290771,317.603
2025-02-12,603.3599853515625,45076100,6.03997802734375,4.5,28.15,4.99,23586542.0,0.463700008392334,319.086
2025-02-13,609.72998046875,40921300,6.739990234375,4.5,28.15,4.99,23586542.0,0.4525000095367432,319.086
2025-02-14,609.7000122070312,26910400,1.91998291015625,4.5,28.15,4.99,23586542.0,0.4472000122070312,319.086
2025-02-18,611.489990234375,26749000,3.1099853515625,4.5,28.15,4.99,23586542.0,0.4544000148773193,319.086
2025-02-19,612.9299926757812,31011100,3.66998291015625,4.5,28.15,4.99,23586542.0,0.4534999847412109,319.086
2025-02-20,610.3800048828125,36554000,4.65997314453125,4.5,28.15,4.99,23586542.0,0.45,319.086
2025-02-21,599.9400024414062,76519800,10.83001708984375,4.5,28.15,4.99,23586542.0,0.4420000076293945,319.086
2025-02-24,597.2100219726562,50737200,6.5400390625,4.5,28.15,4.99,23586542.0,0.439300012588501,319.086
2025-02-25,594.239990234375,58266500,8.33001708984375,4.5,28.15,4.99,23586542.0,0.4297999858856201,319.086
2025-02-26,594.5399780273438,43321600,7.72003173828125,4.5,28.15,4.99,23586542.0,0.4249000072479248,319.086
2025-02-27,585.0499877929688,74196700,13.3699951171875,4.5,28.15,4.99,23586542.0,0.4284999847412109,319.086
2025-02-28,594.1799926757812,88744100,12.27996826171875,4.5,28.15,4.99,23586542.0,0.4230999946594238,319.086
2025-03-03,583.77001953125,74249200,17.44000244140625,4.5,26.23,4.99,23586542.0,0.4179999828338623,319.086
2025-03-04,576.8599853515625,109648200,13.1400146484375,4.5,26.23,4.99,23586542.0,0.4210000038146972,319.086
2025-03-05,583.0599975585938,71230500,11.79998779296875,4.5,26.23,4.99,23586542.0,0.4264999866485596,319.086
2025-03-06,572.7100219726562,80094900,10.04998779296875,4.5,26.23,4.99,23586542.0,0.4285999774932861,319.086
2025-03-07,575.9199829101562,81158800,11.760009765625,4.5,26.23,4.99,23586542.0,0.4316999912261963,319.086
2025-03-10,560.5800170898438,99326600,13.949951171875,4.5,26.23,4.99,23586542.0,0.4212999820709228,319.086
2025-03-11,555.9199829101562,88102100,12.0,4.5,26.23,4.99,23586542.0,0.4288000106811523,319.086
2025-03-12,558.8699951171875,69588200,9.41998291015625,4.5,26.23,4.99,23586542.0,0.4317999839782714,319.775
2025-03-13,551.4199829101562,74079400,9.42999267578125,4.5,26.23,4.99,23586542.0,0.427400016784668,319.775
2025-03-14,562.8099975585938,62660300,12.34002685546875,4.5,26.23,4.99,23586542.0,0.4308000087738037,319.775
2025-03-17,567.1500244140625,49008700,7.36004638671875,4.5,26.23,4.99,23586542.0,0.4306000232696533,319.775
2025-03-18,561.02001953125,66041400,5.96002197265625,4.5,26.23,4.99,23586542.0,0.4281000137329102,319.775
2025-03-19,567.1300048828125,66556000,9.32000732421875,4.5,26.23,4.99,23586542.0,0.425600004196167,319.775
2025-03-20,565.489990234375,62958200,7.97003173828125,4.5,26.23,4.99,23586542.0,0.4232999801635742,319.775
2025-03-21,563.97998046875,83763000,6.8599853515625,4.5,26.23,4.99,23586542.0,0.4251999855041504,319.775
2025-03-24,574.0800170898438,58766800,4.95001220703125,4.5,26.23,4.99,23586542.0,0.4330999851226806,319.775
2025-03-25,575.4600219726562,38355700,2.719970703125,4.5,26.23,4.99,23586542.0,0.4307000160217285,319.775
2025-03-26,568.5900268554688,51848300,9.1400146484375,4.5,26.23,4.99,23586542.0,0.4337999820709228,319.775
2025-03-27,567.0800170898438,42164200,5.96002197265625,4.5,26.23,4.99,23586542.0,0.436899995803833,319.775
2025-03-28,555.6599731445312,71662700,11.20001220703125,4.5,26.23,4.99,23586542.0,0.4255000114440918,319.775
2025-03-31,559.3900146484375,95328200,13.84002685546875,4.5,26.23,4.69,23548210.0,0.4245999813079834,319.775
2025-04-01,560.969970703125,54609600,9.260009765625,4.5,24.56,4.69,23548210.0,0.4156000137329101,319.775
