Date,SPY_NAV
2023-09-28,428.455499
2023-09-29,427.306135
2023-10-02,427.340983
2023-10-03,421.499563
2023-10-04,424.916363
2023-10-05,424.437572
2023-10-06,429.518733
2023-10-09,432.222609
2023-10-10,434.479778
2023-10-11,436.363625
2023-10-12,433.686937
2023-10-13,431.514985
2023-10-16,436.09453
2023-10-17,436.049381
2023-10-18,430.212302
2023-10-19,426.601898
2023-10-20,421.250172
2023-10-23,420.54063
2023-10-24,423.599892
2023-10-25,417.533784
2023-10-26,412.60403
2023-10-27,410.63138
2023-10-30,415.592894
2023-10-31,418.308001
2023-11-01,422.697792
2023-11-02,430.684807
2023-11-03,434.74149
2023-11-06,435.515699
2023-11-07,436.758266
2023-11-08,437.217423
2023-11-09,433.770843
2023-11-10,440.599071
2023-11-13,440.257876
2023-11-14,448.73309
2023-11-15,449.530082
2023-11-16,450.170158
2023-11-17,450.752796
2023-11-20,454.12164
2023-11-21,453.216004
2023-11-22,455.072924
2023-11-24,455.351709
2023-11-27,454.470983
2023-11-28,454.915846
2023-11-29,454.563928
2023-11-30,456.41231
2023-12-01,459.120499
2023-12-04,456.644932
2023-12-05,456.404366
2023-12-06,454.637573
2023-12-07,458.320742
2023-12-08,460.199733
2023-12-11,462.000867
2023-12-12,464.136097
2023-12-13,470.458356
2023-12-14,471.807308
2023-12-15,469.888533
2023-12-18,472.021278
2023-12-19,474.829185
2023-12-20,467.907903
2023-12-21,472.729614
2023-12-22,473.510818
2023-12-26,475.516605
2023-12-27,476.234281
2023-12-28,476.462876
2023-12-29,475.136297
2024-01-02,472.457482
2024-01-03,468.689409
2024-01-04,467.142775
2024-01-05,467.993065
2024-01-08,474.604359
2024-01-09,473.969301
2024-01-10,476.659848
2024-01-11,476.356388
2024-01-12,476.74996
2024-01-16,474.977494
2024-01-17,472.31965
2024-01-18,476.513682
2024-01-19,482.401802
2024-01-22,483.458139
2024-01-23,484.879052
2024-01-24,485.276473
2024-01-25,487.85353
2024-01-26,487.532854
2024-01-29,491.2216
2024-01-30,490.965445
2024-01-31,483.075941
2024-02-01,489.131264
2024-02-02,494.373354
2024-02-05,492.804363
2024-02-06,493.954283
2024-02-07,498.027232
2024-02-08,498.372388
2024-02-09,501.275061
2024-02-12,500.805289
2024-02-13,494.023739
2024-02-14,498.841532
2024-02-15,501.852066
2024-02-16,499.520176
2024-02-20,496.542707
2024-02-21,497.190426
2024-02-22,507.697543
2024-02-23,507.880428
2024-02-26,505.978856
2024-02-27,506.846125
2024-02-28,506.053844
2024-02-29,508.80029
2024-03-01,512.891429
2024-03-04,512.297383
2024-03-05,507.099083
2024-03-06,509.736005
2024-03-07,515.045276
2024-03-08,511.722645
2024-03-11,511.150137
2024-03-12,516.877112
2024-03-13,515.906177
2024-03-14,514.554761
2024-03-15,509.646298
2024-03-18,512.869638
2024-03-19,515.766123
2024-03-20,520.425493
2024-03-21,522.120264
2024-03-22,521.412231
2024-03-25,519.817706
2024-03-26,518.361868
2024-03-27,522.896648
2024-03-28,523.489244
2024-04-01,522.435141
2024-04-02,518.66662
2024-04-03,519.255414
2024-04-04,512.917518
2024-04-05,518.604639
2024-04-08,518.418689
2024-04-09,519.241064
2024-04-10,514.342956
2024-04-11,518.180619
2024-04-12,510.705503
2024-04-15,504.577849
2024-04-16,503.541001
2024-04-17,500.630754
2024-04-18,499.556479
2024-04-19,495.20605
2024-04-22,499.523159
2024-04-23,505.502587
2024-04-24,505.610668
2024-04-25,503.307756
2024-04-26,508.445522
2024-04-29,510.085072
2024-04-30,502.083148
2024-05-01,500.363242
2024-05-02,504.932623
2024-05-03,511.286134
2024-05-06,516.571251
2024-05-07,517.290084
2024-05-08,517.285995
2024-05-09,520.017165
2024-05-10,520.952639
2024-05-13,520.833592
2024-05-14,523.425552
2024-05-15,529.644512
2024-05-16,528.651033
2024-05-17,529.28401
2024-05-20,529.811408
2024-05-21,531.146371
2024-05-22,529.717423
2024-05-23,525.834518
2024-05-24,529.516132
2024-05-28,529.647001
2024-05-29,525.758664
2024-05-30,522.675293
2024-05-31,526.905151
2024-06-03,527.551144
2024-06-04,528.36922
2024-06-05,534.620708
2024-06-06,534.520152
2024-06-07,534.01966
2024-06-10,535.436844
2024-06-11,536.887172
2024-06-12,541.451161
2024-06-13,542.722294
2024-06-14,542.638784
2024-06-17,546.851957
2024-06-18,548.24015
2024-06-20,546.8628
2024-06-21,544.276558
2024-06-24,542.642092
2024-06-25,544.773858
2024-06-26,545.63037
2024-06-27,546.129202
2024-06-28,543.959558
2024-07-01,545.429095
2024-07-02,548.82405
2024-07-03,551.625621
2024-07-05,554.712018
2024-07-08,555.291311
2024-07-09,555.713919
2024-07-10,561.448664
2024-07-11,556.554647
2024-07-12,559.617261
2024-07-15,561.254702
2024-07-16,564.839696
2024-07-17,556.987903
2024-07-18,552.638332
2024-07-19,548.724139
2024-07-22,554.661016
2024-07-23,553.795976
2024-07-24,540.993813
2024-07-25,538.220853
2024-07-26,544.217918
2024-07-29,544.666711
2024-07-30,541.973212
2024-07-31,550.562432
2024-08-01,543.050894
2024-08-02,533.084361
2024-08-05,517.146799
2024-08-06,522.500025
2024-08-07,518.480258
2024-08-08,530.416094
2024-08-09,532.951671
2024-08-12,533.045243
2024-08-13,542.016515
2024-08-14,544.100847
2024-08-15,553.02411
2024-08-16,554.197178
2024-08-19,559.633733
2024-08-20,558.54025
2024-08-21,560.928133
2024-08-22,555.937164
2024-08-23,562.311997
2024-08-26,560.553677
2024-08-27,561.488549
2024-08-28,558.141533
2024-08-29,558.147479
2024-08-30,563.842957
2024-09-03,551.998672
2024-09-04,551.136028
2024-09-05,549.494667
2024-09-06,540.097601
2024-09-09,546.388979
2024-09-10,548.838669
2024-09-11,554.677017
2024-09-12,558.829801
2024-09-13,561.932948
2024-09-16,562.749147
2024-09-17,562.909831
2024-09-18,561.293874
2024-09-19,570.82497
2024-09-20,567.973262
2024-09-23,569.572877
2024-09-24,571.005257
2024-09-25,569.944141
2024-09-26,572.278881
2024-09-27,571.575374
2024-09-30,574.047087
2024-10-01,568.709886
2024-10-02,568.821375
2024-10-03,567.865484
2024-10-04,573.074449
2024-10-07,567.588665
2024-10-08,573.087048
2024-10-09,577.177105
2024-10-10,576.068789
2024-10-11,579.553598
2024-10-14,584.016093
2024-10-15,579.622076
2024-10-16,582.338789
2024-10-17,582.243634
2024-10-18,584.582992
2024-10-21,583.539163
2024-10-22,583.263392
2024-10-23,577.914326
2024-10-24,579.152161
2024-10-25,578.978994
2024-10-28,580.518811
2024-10-29,581.453567
2024-10-30,579.537918
2024-10-31,568.804532
2024-11-01,571.149668
2024-11-04,569.571651
2024-11-05,576.555599
2024-11-06,591.125727
2024-11-07,595.526491
2024-11-08,597.883973
2024-11-11,598.461124
2024-11-12,596.765821
2024-11-13,596.929015
2024-11-14,593.390826
2024-11-15,585.641918
2024-11-18,588.021016
2024-11-19,590.355076
